tool,query,mpi_ranks,omp_threads,repeat,elapsed_seconds,internal_elapsed_seconds,directories,files,bytes_read,matches,errors
pfind_omp,target,1,8,2,0.003073,0.001456,364,1456,0,166,0
pgrep_omp,distributed_needle,1,8,2,0.230767,0.228430,364,1456,3733742592,133,0
pfind_mpi_omp,target,1,1,2,0.308274,0.003856,364,1456,0,166,0
pgrep_mpi_omp,distributed_needle,1,1,2,2.163791,1.866098,364,1456,3733742592,133,0
pfind_mpi_omp,target,1,2,2,0.299395,0.002307,364,1456,0,166,0
pgrep_mpi_omp,distributed_needle,1,2,2,1.051646,0.751327,364,1456,3733742592,133,0
pfind_mpi_omp,target,1,4,2,0.304047,0.002520,364,1456,0,166,0
pgrep_mpi_omp,distributed_needle,1,4,2,1.009069,0.709263,364,1456,3733742592,133,0
pfind_mpi_omp,target,1,8,2,0.299046,0.002829,364,1456,0,166,0
pgrep_mpi_omp,distributed_needle,1,8,2,1.044480,0.746016,364,1456,3733742592,133,0
pfind_mpi_omp,target,2,1,2,0.304092,0.002037,364,1456,0,166,0
pgrep_mpi_omp,distributed_needle,2,1,2,1.327991,1.028442,364,1456,3733742592,133,0
pfind_mpi_omp,target,2,2,2,0.298451,0.001337,364,1456,0,166,0
pgrep_mpi_omp,distributed_needle,2,2,2,0.759096,0.454379,364,1456,3733742592,133,0
pfind_mpi_omp,target,2,4,2,0.305463,0.001501,364,1456,0,166,0
pgrep_mpi_omp,distributed_needle,2,4,2,0.747185,0.447364,364,1456,3733742592,133,0
pfind_mpi_omp,target,2,8,2,0.299381,0.001854,364,1456,0,166,0
pgrep_mpi_omp,distributed_needle,2,8,2,0.800487,0.501547,364,1456,3733742592,133,0
